Player_Key,Pos,Player,Team,Season
331.p.24453,TE,Steve Maneri,NYJ,2014
331.p.24473,TE,Mike Caussin,Was,2014
331.p.24550,TE,Jake Ballard,Ari,2014
331.p.24553,WR,Victor Cruz,Chi,2014
331.p.24608,TE,Logan Paulsen,Hou,2014
331.p.24696,WR,Isaiah Williams,Ten,2014
331.p.24701,WR,Andy Tanner,NO,2014
331.p.24735,RB,Will Tukuafu,Sea,2014
331.p.24743,RB,Harvey Unga,Jax,2014
331.p.24746,WR,Teddy Williams,NYG,2014
331.p.24757,WR,Danario Alexander,LAC,2014
331.p.24760,RB,James Develin,NE,2014
331.p.24769,RB,Tyler Clutts,Dal,2014
331.p.24774,WR,Andrew Hawkins,NE,2014
331.p.24788,QB,Cam Newton,NE,2014
331.p.24791,WR,A.J. Green,Ari,2014
331.p.24793,WR,Julio Jones,Ten,2014
331.p.24795,QB,Jake Locker,Ten,2014
331.p.24797,QB,Blaine Gabbert,TB,2014
331.p.24799,QB,Christian Ponder,SF,2014
331.p.24813,WR,Jon Baldwin,Det,2014
331.p.24815,RB,Mark Ingram II,Hou,2014
331.p.24822,QB,Andy Dalton,Chi,2014
331.p.24823,QB,Colin Kaepernick,SF,2014
331.p.24825,RB,Ryan Williams,Dal,2014
331.p.24830,TE,Kyle Rudolph,NYG,2014
331.p.24834,TE,Lance Kendricks,LAC,2014
331.p.24843,RB,Shane Vereen,NO,2014
331.p.24844,RB,Mikel Leshoure,Det,2014
331.p.24845,WR,Torrey Smith,Car,2014
331.p.24846,WR,Greg Little,Ari,2014
331.p.24849,RB,Daniel Thomas,Mia,2014
331.p.24851,WR,Randall Cobb,GB,2014
331.p.24856,TE,Rob Housler,NE,2014
331.p.24858,RB,DeMarco Murray,Ten,2014
331.p.24860,RB,Stevan Ridley,Pit,2014
331.p.24861,QB,Ryan Mallett,Bal,2014
331.p.24865,WR,Austin Pettis,LAC,2014
331.p.24866,WR,Leonard Hankerson,Buf,2014
331.p.24869,WR,Vincent Brown,NO,2014
331.p.24870,WR,Jerrel Jernigan,NYG,2014
331.p.24883,RB,Alex Green,NYJ,2014
331.p.24889,TE,Jordan Cameron,Mia,2014
331.p.24891,TE,Luke Stocker,Ten,2014
331.p.24892,RB,Roy Helu Jr.,LV,2014
331.p.24894,WR,Kris Durham,LV,2014
331.p.24898,WR,Clyde Gates,Dal,2014
331.p.24899,WR,Greg Salas,Buf,2014
331.p.24901,WR,Cecil Shorts III,TB,2014
331.p.24902,RB,Kendall Hunter,NO,2014
331.p.24906,RB,Delone Carter,Jax,2014
331.p.24907,K,Alex Henery,Det,2014
331.p.24910,WR,Tandon Doss,Jax,2014
331.p.24913,RB,Bilal Powell,NYJ,2014
331.p.24916,TE,Julius Thomas,Mia,2014
331.p.24919,WR,Kealoha Pilares,Car,2014
331.p.24922,QB,Ricky Stanzi,Det,2014
331.p.24923,RB,Anthony Sherman,KC,2014
331.p.24928,TE,D.J. Williams,Was,2014
331.p.24932,RB,Jacquizz Rodgers,NO,2014
331.p.24935,WR,Denarius Moore,Buf,2014
331.p.24936,RB,Dion Lewis,NYG,2014
331.p.24939,QB,T.J. Yates,Hou,2014
331.p.24940,WR,Jeremy Kerley,Buf,2014
331.p.24942,TE,Niles Paul,SF,2014
331.p.24946,TE,Lee Smith,Atl,2014
331.p.24954,WR,Ryan Whalen,SF,2014
331.p.24961,TE,Charles Clay,Ari,2014
331.p.24963,WR,Dwayne Harris,Chi,2014
331.p.24964,RB,Evan Royster,Atl,2014
331.p.24965,WR,Aldrick Robinson,Car,2014
331.p.24967,QB,Tyrod Taylor,Hou,2014
331.p.24968,TE,Richard Gordon,Den,2014
331.p.24969,WR,Ronald Johnson,Sea,2014
331.p.24970,RB,Jordan Todman,Hou,2014
331.p.24991,TE,Virgil Green,LAC,2014
331.p.24998,RB,Bruce Miller,Jax,2014
331.p.25005,TE,Ryan Taylor,KC,2014
331.p.25007,RB,Shaun Chapas,Bal,2014
331.p.25012,RB,Anthony Allen,Buf,2014
331.p.25027,RB,Stanley Havili,Sea,2014
331.p.25028,TE,David Ausberry,Det,2014
331.p.25036,WR,DeMarco Sampson,SF,2014
331.p.25046,QB,Jerrod Johnson,Dal,2014
331.p.25050,TE,Martell Webb,Cle,2014
331.p.25056,TE,Weslye Saunders,Ind,2014
331.p.25077,RB,Robert Hughes,Cle,2014
331.p.25084,TE,Andre Smith,Cle,2014
331.p.25105,WR,Doug Baldwin,Sea,2014
331.p.25106,WR,Ricardo Lockette,Sea,2014
331.p.25107,WR,Armon Binns,KC,2014
331.p.25117,RB,DuJuan Harris,Jax,2014
331.p.25120,WR,Dontrelle Inman,Was,2014
331.p.25123,WR,Raymond Webber,Mia,2014
331.p.25125,TE,Kyle Miller,LAC,2014
331.p.25127,WR,Jamar Newsome,Dal,2014
331.p.25144,WR,Michael Preston,Mia,2014
331.p.25146,WR,Kris Adams,NYG,2014
331.p.25151,WR,Dane Sanzenbacher,Cin,2014
331.p.25158,RB,Patrick DiMarco,Buf,2014
331.p.25171,QB,Scott Tolzien,Ind,2014
331.p.25175,RB,Chad Spann,Hou,2014
331.p.25178,WR,Chris Hogan,NO,2014
331.p.25209,RB,William Powell,Det,2014
331.p.25230,TE,Allen Reisner,Bal,2014
331.p.25234,WR,Andre Holmes,Den,2014
331.p.25238,RB,Matt Asiata,Det,2014
331.p.25284,TE,Mike Higgins,Min,2014
331.p.25290,WR,Joseph Morgan,Bal,2014
331.p.25291,TE,Kyle Nelson,SF,2014
331.p.25296,WR,Michael Campbell,NYJ,2014
331.p.25303,RB,Eric Kettani,NE,2014
331.p.25312,WR,Jeremy Ross,Ari,2014
331.p.25317,TE,Josh Baker,TB,2014
331.p.25323,QB,Pat Devlin,Cle,2014
331.p.25324,WR,Drew Davis,Atl,2014
331.p.25331,TE,Brett Brackett,Ten,2014
331.p.25370,TE,Patrick Scales,Chi,2014
331.p.25375,WR,LaQuan Williams,Bal,2014
331.p.25379,WR,Kamar Aiken,Phi,2014
331.p.25427,K,Dan Bailey,Min,2014
331.p.25444,RB,Phillip Tanner,SF,2014
331.p.25464,WR,Tori Gurley,Buf,2014
331.p.25479,WR,Kerry Taylor,Den,2014
331.p.25481,RB,Shaun Draughn,NYG,2014
331.p.25483,QB,McLeod Bethel-Thompson,Phi,2014
331.p.25493,WR,Marcus Harris,NYG,2014
331.p.25503,K,Jake Rogers,Mia,2014
331.p.25505,RB,Henry Hynoski,NYG,2014
331.p.25525,WR,Lestar Jean,Min,2014
331.p.25526,WR,Jeff Maehl,Phi,2014
331.p.25530,WR,Terrence Toliver,Chi,2014
331.p.25562,WR,David Gilreath,Sea,2014
331.p.25566,TE,Mike McNeill,Car,2014
331.p.25594,WR,Chris Matthews,Bal,2014
331.p.25648,K,Kai Forbath,LAR,2014
331.p.25650,RB,Chase Reynolds,LAR,2014
331.p.25658,WR,Kevin Cone,Mia,2014
331.p.25677,WR,Greg Orton,NE,2014
331.p.25681,QB,Terrelle Pryor Sr.,Jax,2014
331.p.25694,WR,Marcus Thigpen,Buf,2014
331.p.25703,TE,Larry Donnell,Bal,2014
331.p.25706,RB,Will Johnson,NYG,2014
331.p.25708,TE,Andre Hardy,Ari,2014
331.p.25711,QB,Andrew Luck,Ind,2014
331.p.25712,QB,Robert Griffin III,Bal,2014
331.p.25713,RB,Trent Richardson,Bal,2014
331.p.25715,WR,Justin Blackmon,Jax,2014
331.p.25718,QB,Ryan Tannehill,Ten,2014
331.p.25723,WR,Michael Floyd,Bal,2014
331.p.25730,WR,Kendall Wright,Ari,2014
331.p.25732,QB,Brandon Weeden,Hou,2014
331.p.25740,WR,A.J. Jenkins,Dal,2014
331.p.25741,RB,Doug Martin,LV,2014
331.p.25742,RB,David Wilson,NYG,2014
331.p.25743,WR,Brian Quick,Was,2014
331.p.25744,TE,Coby Fleener,NO,2014
331.p.25753,WR,Stephen Hill,Car,2014
331.p.25755,WR,Alshon Jeffery,Phi,2014
331.p.25760,RB,Isaiah Pead,Mia,2014
331.p.25764,WR,Ryan Broyles,Det,2014
331.p.25767,QB,Brock Osweiler,Mia,2014
331.p.25771,RB,LaMichael James,Mia,2014
331.p.25773,WR,Rueben Randle,Chi,2014
331.p.25774,TE,Dwayne Allen,Mia,2014
331.p.25777,RB,Ronnie Hillman,Dal,2014
331.p.25778,WR,DeVier Posey,Bal,2014
331.p.25779,WR,TJ Graham,Car,2014
331.p.25785,QB,Russell Wilson,Sea,2014
331.p.25788,TE,Michael Egnew,NO,2014
331.p.25793,WR,Mohamed Sanu,SF,2014
331.p.25794,RB,Bernard Pierce,Den,2014
331.p.25798,QB,Nick Foles,Chi,2014
331.p.25802,WR,T.Y. Hilton,Ind,2014
331.p.25806,WR,Chris Givens,Phi,2014
331.p.25807,RB,Lamar Miller,Was,2014
331.p.25810,WR,Travis Benjamin,SF,2014
331.p.25812,QB,Kirk Cousins,Min,2014
331.p.25814,WR,Joe Adams,Hou,2014
331.p.25816,RB,Robert Turbin,Sea,2014
331.p.25817,WR,Devon Wylie,Atl,2014
331.p.25820,TE,Ladarius Green,Pit,2014
331.p.25821,RB,Evan Rodriguez,TB,2014
331.p.25826,RB,Orson Charles,Den,2014
331.p.25828,WR,Jarius Wright,Car,2014
331.p.25831,WR,Keshawn Martin,Det,2014
331.p.25832,WR,Nick Toon,LAR,2014
331.p.25837,TE,Adrien Robinson,NYJ,2014
331.p.25838,TE,Rhett Ellison,NYG,2014
331.p.25855,TE,Taylor Thompson,Ten,2014
331.p.25862,WR,Danny Coale,Pit,2014
331.p.25867,RB,Bradie Ewing,Jax,2014
331.p.25869,RB,Chris Rainey,Ari,2014
331.p.25871,K,Randy Bullock,Det,2014
331.p.25876,WR,Marvin Jones Jr.,Jax,2014
331.p.25878,WR,Juron Criner,NYG,2014
331.p.25880,RB,Vick Ballard,NO,2014
331.p.25881,K,Greg Zuerlein,Dal,2014
331.p.25883,RB,Alfred Morris,NYG,2014
331.p.25885,K,Blair Walsh,NO,2014
331.p.25892,RB,Cyrus Gray,Atl,2014
331.p.25893,WR,B.J. Cunningham,Chi,2014
331.p.25895,QB,Ryan Lindley,Ind,2014
331.p.25896,TE,James Hanna,Dal,2014
331.p.25901,RB,Daniel Herron,Buf,2014
331.p.25904,WR,Marvin McNutt,Was,2014
331.p.25908,WR,Tommy Streeter,Mia,2014
331.p.25916,WR,LaVon Brazill,Ind,2014
331.p.25922,RB,Michael Smith,NYJ,2014
331.p.25937,WR,Rishard Matthews,NO,2014
331.p.25939,RB,Bryce Brown,Sea,2014
331.p.25941,WR,Toney Clemons,Car,2014
331.p.25945,WR,Jeremy Ebert,Atl,2014
331.p.25948,WR,Junior Hemingway,KC,2014
331.p.25950,TE,Dave Paulson,LAC,2014
331.p.25957,RB,Brad Smelley,LAR,2014
