display_name,enabled,name,position_type,sort_order,stat_id,is_only_display_stat,game_id,league_id,stat_modifier
Pts Allow 21-27,1,Points Allowed 21-27 points,DT,1,54,0,399,12514,0.0
Pts Allow 28-34,1,Points Allowed 28-34 points,DT,1,55,0,399,12514,-1.0
Pts Allow 35+,1,Points Allowed 35+ points,DT,1,56,0,399,12514,-4.0
XPR,1,Extra Point Returned,DT,1,82,0,399,12514,2.0
Pts Allow 21-27,1,Points Allowed 21-27 points,DT,1,54,0,380,236583,0.0
Pts Allow 28-34,1,Points Allowed 28-34 points,DT,1,55,0,380,236583,-1.0
Pts Allow 35+,1,Points Allowed 35+ points,DT,1,56,0,380,236583,-4.0
XPR,1,Extra Point Returned,DT,1,82,0,380,236583,2.0
Pass Yds,1,Passing Yards,O,1,4,0,414,77446,0.03999999910593033
Pass TD,1,Passing Touchdowns,O,1,5,0,414,77446,4.0
Int,1,Interceptions,O,0,6,0,414,77446,-1.0
Rush Att,1,Rushing Attempts,O,1,8,1,414,77446,
Rush Yds,1,Rushing Yards,O,1,9,0,414,77446,0.10000000149011612
Rush TD,1,Rushing Touchdowns,O,1,10,0,414,77446,6.0
Targets,1,Targets,O,1,78,1,414,77446,
Rec,1,Receptions,O,1,11,0,414,77446,0.5
Rec Yds,1,Receiving Yards,O,1,12,0,414,77446,0.10000000149011612
Rec TD,1,Receiving Touchdowns,O,1,13,0,414,77446,6.0
Ret TD,1,Return Touchdowns,O,1,15,0,414,77446,6.0
2-PT,1,2-Point Conversions,O,1,16,0,414,77446,2.0
Fum Lost,1,Fumbles Lost,O,0,18,0,414,77446,-2.0
